,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
0,1672936,5120,NSE_FO:NIFTY24MAY22650PE,2024-05-17 14:44:00,0,50,277.25,2024-05-17 15:15:00,1,50,274.65,-130.0,-0.94,422788.75,693.1,483788.75,-1.29
1,1672932,5120,NSE_FO:NIFTY24MAY22350CE,2024-05-17 13:35:00,0,25,319.7,2024-05-17 14:35:00,1,25,308.6,-277.5,-3.47,422918.75,693.31,483918.75,-1.26
2,1672925,5120,NSE_FO:NIFTY24MAY22600PE,2024-05-17 13:02:00,0,50,258.8,2024-05-17 13:30:00,1,50,246.05,-637.5,-4.93,423196.25,693.76,484196.25,-1.21
3,1672739,7974,NSE_FO:NIFTY24MAY22650PE,2024-05-17 14:44:00,0,125,277.25,2024-05-17 15:25:01,1,125,278.9,206.25,0.6,32483.75,53.25,93483.75,-11.74
4,1672725,7974,NSE_FO:NIFTY24MAY22350CE,2024-05-17 13:35:02,0,125,319.7,2024-05-17 14:35:08,1,125,306.8,-1612.5,-4.04,32277.5,52.91,93277.5,-11.94
5,1672714,7974,NSE_FO:NIFTY24MAY22600PE,2024-05-17 13:02:00,0,150,258.8,2024-05-17 13:30:27,1,150,251.4,-1110.0,-2.86,33890.0,55.56,94890.0,-10.42
6,1672412,5120,NSE_FO:NIFTY24MAY22000CE,2024-05-16 14:39:00,0,25,400.8,2024-05-16 15:15:00,1,25,530.0,3230.0,32.24,423833.75,694.81,484833.75,-1.08
7,1672401,5120,NSE_FO:NIFTY24MAY22300PE,2024-05-16 12:59:00,0,50,258.9,2024-05-16 13:58:00,1,50,284.8,1295.0,10.0,420603.75,689.51,481603.75,-1.74
8,1672392,5120,NSE_FO:NIFTY24MAY22000CE,2024-05-16 12:02:00,0,25,410.35,2024-05-16 12:29:00,1,25,410.35,0.0,0.0,419308.75,687.39,480308.75,-2.0
9,1672378,5120,NSE_FO:NIFTY24MAY22400PE,2024-05-16 10:21:00,0,50,264.1,2024-05-16 11:05:00,1,50,290.5,1320.0,10.0,419308.75,687.39,480308.75,-2.0
10,1672092,7974,NSE_FO:NIFTY24MAY22000CE,2024-05-16 14:39:00,0,75,400.8,2024-05-16 15:18:01,1,75,544.8,10800.0,35.93,35000.0,57.38,96000.0,-9.37
11,1672075,7974,NSE_FO:NIFTY24MAY22300PE,2024-05-16 12:59:00,0,150,258.9,2024-05-16 13:58:01,1,150,284.8,3885.0,10.0,24200.0,39.67,85200.0,-19.56
12,1672042,7974,NSE_FO:NIFTY24MAY22000CE,2024-05-16 12:02:01,0,75,410.35,2024-05-16 12:29:01,1,75,410.35,0.0,0.0,20315.0,33.3,81315.0,-23.23
